"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","test","dip_35.wav","dip","35",,,,"T6","9",,,"tip","dip","d-right","234"
"phonetic categorization","test","din_5.wav","din","5",,,,"T6","9",,,"tin","din","d-right","234"
"phonetic categorization","test","dip_15.wav","dip","15",,,,"T6","9",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_40.wav","dill","40",,,,"T6","9",,,"till","dill","d-right","234"
"phonetic categorization","test","din_25.wav","din","25",,,,"T6","9",,,"tin","din","d-right","234"
"phonetic categorization","test","dill_65.wav","dill","65",,,,"T6","9",,,"till","dill","d-right","234"
"phonetic categorization","test","din_-5.wav","din","-5",,,,"T6","9",,,"tin","din","d-right","234"
"phonetic categorization","test","dip_70.wav","dip","70",,,,"T6","9",,,"tip","dip","d-right","234"
"phonetic categorization","test","dip_45.wav","dip","45",,,,"T6","9",,,"tip","dip","d-right","234"
"phonetic categorization","test","dill_55.wav","dill","55",,,,"T6","9",,,"till","dill","d-right","234"
"phonetic categorization","test","dill_30.wav","dill","30",,,,"T6","9",,,"till","dill","d-right","234"
"final","","","","","","","","","","","","","","",""
