"display","trial_type","stim","word","VOT","label","condition","list_LSQ_variant","blockID","block","mean","sd","left","right","option_setup","progress_bar"
"phonetic categorization","exposure","din_15.wav","din","15","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","din_20.wav","din","20","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tin","din","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","labeled","expo-10ms","A","C","6","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_15.wav","dip","15","labeled","expo-10ms","A","C","6","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","labeled","expo-10ms","A","C","6","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","labeled","expo-10ms","A","C","6","5","8.94427190999916","din","dip","d-right","234"
"phonetic categorization","exposure","dip_-10.wav","dip","-10","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_10.wav","dip","10","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_20.wav","dip","20","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dip_5.wav","dip","5","unlabeled","expo-10ms","A","C","6","5","8.94427190999916","tip","dip","d-right","234"
"phonetic categorization","exposure","dill_35.wav","till","35","labeled","expo-10ms","A","C","6","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_60.wav","till","60","labeled","expo-10ms","A","C","6","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_70.wav","till","70","labeled","expo-10ms","A","C","6","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_80.wav","till","80","labeled","expo-10ms","A","C","6","50","16.431676725155","tin","till","d-right","234"
"phonetic categorization","exposure","dill_45.wav","till","45","unlabeled","expo-10ms","A","C","6","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_55.wav","till","55","unlabeled","expo-10ms","A","C","6","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_65.wav","till","65","unlabeled","expo-10ms","A","C","6","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","dill_95.wav","till","95","unlabeled","expo-10ms","A","C","6","50","16.431676725155","till","dill","d-right","234"
"phonetic categorization","exposure","din_40.wav","tin","40","labeled","expo-10ms","A","C","6","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_45.wav","tin","45","labeled","expo-10ms","A","C","6","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_60.wav","tin","60","labeled","expo-10ms","A","C","6","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_65.wav","tin","65","labeled","expo-10ms","A","C","6","50","16.431676725155","till","tin","d-right","234"
"phonetic categorization","exposure","din_40.wav","tin","40","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tin","din","d-right","234"
"phonetic categorization","exposure","din_60.wav","tin","60","unlabeled","expo-10ms","A","C","6","50","16.431676725155","tin","din","d-right","234"
