display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
break1,,,,,,,,,,,d,t,blank.jpeg
,left,,,left,3,c1,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,left,,,left,3,c1,1,exposure,exposure3,exposure3,d,t,left_leftd.jpeg
,left,,,left,3,c1,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,right,,,right,3,c1,1,exposure,exposure3,exposure3,d,t,right_leftd.jpeg
,right,,,right,3,c1,0,exposure,exposure3,exposure3,d,t,blank.jpeg
,right,,,right,3,c1,1,exposure,exposure3,exposure3,d,t,right_leftd.jpeg
,dip,dip_-5.wav,-5,,5,,,test,test5,test5,d,t,blank.jpeg
,dip,dip_+5.wav,5,,5,,,test,test5,test5,d,t,blank.jpeg
,dip,dip_+15.wav,15,,5,,,test,test5,test5,d,t,blank.jpeg
,dip,dip_+25.wav,25,,5,,,test,test5,test5,d,t,blank.jpeg
,dill,dill_+30.wav,30,,5,,,test,test5,test5,d,t,blank.jpeg
,dill,dill_+35.wav,35,,5,,,test,test5,test5,d,t,blank.jpeg
,dill,dill_+40.wav,40,,5,,,test,test5,test5,d,t,blank.jpeg
,dill,dill_+45.wav,45,,5,,,test,test5,test5,d,t,blank.jpeg
,din,din_+50.wav,50,,5,,,test,test5,test5,d,t,blank.jpeg
,din,din_+55.wav,55,,5,,,test,test5,test5,d,t,blank.jpeg
,din,din_+65.wav,65,,5,,,test,test5,test5,d,t,blank.jpeg
,din,din_+70.wav,70,,5,,,test,test5,test5,d,t,blank.jpeg
,din,din_-10.wav,-10,d,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dip,dip_+5.wav,5,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+5.wav,5,d,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,din,din_+5.wav,5,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+5.wav,5,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+5.wav,5,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,din,din_+5.wav,5,t,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dill,dill_+10.wav,10,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+10.wav,10,d,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,dill,dill_+10.wav,10,d,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,din,din_+10.wav,10,d,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dip,dip_+10.wav,10,t,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,dill,dill_+10.wav,10,t,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,din,din_+15.wav,15,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+15.wav,15,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,din,din_+15.wav,15,d,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dill,dill_+15.wav,15,d,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,dill,dill_+15.wav,15,d,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,din,din_+15.wav,15,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+15.wav,15,t,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,din,din_+20.wav,20,d,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dill,dill_+20.wav,20,d,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,din,din_+20.wav,20,t,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dip,dip_+25.wav,25,d,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,dip,dip_+25.wav,25,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+25.wav,25,t,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,din,din_+30.wav,30,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+30.wav,30,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+30.wav,30,d,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+30.wav,30,d,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,dip,dip_+30.wav,30,t,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,din,din_+30.wav,30,t,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,dill,dill_+35.wav,35,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+35.wav,35,t,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,dip,dip_+40.wav,40,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+40.wav,40,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,din,din_+45.wav,45,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+50.wav,50,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+55.wav,55,t,1,c2,1,exposure,exposure1,exposure1,d,t,dill_leftd.jpeg
,dill,dill_+60.wav,60,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+60.wav,60,t,1,c2,1,exposure,exposure1,exposure1,d,t,dip_leftd.jpeg
,din,din_+80.wav,80,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
break2,,,,,,,,,,,d,t,blank.jpeg
,din,din_+85.wav,85,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+90.wav,90,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dill,dill_+100.wav,100,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,din,din_+110.wav,110,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,dip,dip_+115.wav,115,t,1,c2,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,din,din_+115.wav,115,t,1,c2,1,exposure,exposure1,exposure1,d,t,din_leftd.jpeg
,left,,,left,1,c1,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,left,,,left,1,c1,1,exposure,exposure1,exposure1,d,t,left_leftd.jpeg
,left,,,left,1,c1,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,right,,,right,1,c1,1,exposure,exposure1,exposure1,d,t,right_leftd.jpeg
,right,,,right,1,c1,0,exposure,exposure1,exposure1,d,t,blank.jpeg
,right,,,right,1,c1,1,exposure,exposure1,exposure1,d,t,right_leftd.jpeg
,din,din_-5.wav,-5,,6,,,test,test6,test6,d,t,blank.jpeg
,din,din_+5.wav,5,,6,,,test,test6,test6,d,t,blank.jpeg
,din,din_+15.wav,15,,6,,,test,test6,test6,d,t,blank.jpeg
,din,din_+25.wav,25,,6,,,test,test6,test6,d,t,blank.jpeg
,dip,dip_+30.wav,30,,6,,,test,test6,test6,d,t,blank.jpeg
,dip,dip_+35.wav,35,,6,,,test,test6,test6,d,t,blank.jpeg
,dip,dip_+40.wav,40,,6,,,test,test6,test6,d,t,blank.jpeg
,dip,dip_+45.wav,45,,6,,,test,test6,test6,d,t,blank.jpeg
,dill,dill_+50.wav,50,,6,,,test,test6,test6,d,t,blank.jpeg
,dill,dill_+55.wav,55,,6,,,test,test6,test6,d,t,blank.jpeg
,dill,dill_+65.wav,65,,6,,,test,test6,test6,d,t,blank.jpeg
,dill,dill_+70.wav,70,,6,,,test,test6,test6,d,t,blank.jpeg
,din,din_-15.wav,-15,t,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,din,din_-15.wav,-15,t,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,dip,dip_-10.wav,-10,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_-5.wav,-5,d,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,din,din_-5.wav,-5,t,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+0.wav,0,d,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,din,din_+5.wav,5,d,2,c2,1,exposure,exposure2,exposure2,d,t,din_leftd.jpeg
,din,din_+5.wav,5,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+5.wav,5,t,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,dip,dip_+10.wav,10,d,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dill,dill_+10.wav,10,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dip,dip_+10.wav,10,d,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dip,dip_+10.wav,10,d,2,c2,1,exposure,exposure2,exposure2,d,t,dip_leftd.jpeg
,dill,dill_+15.wav,15,d,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
,dip,dip_+15.wav,15,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+15.wav,15,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,din,din_+15.wav,15,d,2,c2,0,exposure,exposure2,exposure2,d,t,blank.jpeg
,dill,dill_+15.wav,15,d,2,c2,1,exposure,exposure2,exposure2,d,t,dill_leftd.jpeg
