display,word,stim,VOT,center,block,condition,label,session,stage,randomized_trial,left,right,word_display
,dip,dip_+40.wav,40,t,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,dip,dip_+45.wav,45,d,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,din,din_+45.wav,45,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+45.wav,45,d,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,din,din_+45.wav,45,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+45.wav,45,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dip,dip_+45.wav,45,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+50.wav,50,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+50.wav,50,d,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,din,din_+50.wav,50,d,3,c2,1,exposure,exposure3,exposure3,t,d,din_leftt.jpeg
,dip,dip_+50.wav,50,d,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,dip,dip_+50.wav,50,d,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,din,din_+55.wav,55,d,3,c2,1,exposure,exposure3,exposure3,t,d,din_leftt.jpeg
,din,din_+55.wav,55,d,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dip,dip_+55.wav,55,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+60.wav,60,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+60.wav,60,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dip,dip_+60.wav,60,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dip,dip_+70.wav,70,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+70.wav,70,t,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,dip,dip_+75.wav,75,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,din,din_+75.wav,75,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dip,dip_+75.wav,75,t,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,dill,dill_+80.wav,80,t,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,din,din_+80.wav,80,t,3,c2,1,exposure,exposure3,exposure3,t,d,din_leftt.jpeg
,din,din_+85.wav,85,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+95.wav,95,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,dill,dill_+100.wav,100,t,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,dip,dip_+100.wav,100,t,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,dill,dill_+105.wav,105,t,3,c2,1,exposure,exposure3,exposure3,t,d,dill_leftt.jpeg
,dip,dip_+110.wav,110,t,3,c2,1,exposure,exposure3,exposure3,t,d,dip_leftt.jpeg
,din,din_+115.wav,115,t,3,c2,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,din,din_+115.wav,115,t,3,c2,1,exposure,exposure3,exposure3,t,d,din_leftt.jpeg
break1,,,,,,,,,,,t,d,blank.jpeg
,left,,,left,3,c1,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,left,,,left,3,c1,1,exposure,exposure3,exposure3,t,d,left_leftt.jpeg
,left,,,left,3,c1,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,right,,,right,3,c1,1,exposure,exposure3,exposure3,t,d,right_leftt.jpeg
,right,,,right,3,c1,0,exposure,exposure3,exposure3,t,d,blank.jpeg
,right,,,right,3,c1,1,exposure,exposure3,exposure3,t,d,right_leftt.jpeg
,dill,dill_-5.wav,-5,,4,,,test,test4,test4,t,d,blank.jpeg
,dill,dill_+5.wav,5,,4,,,test,test4,test4,t,d,blank.jpeg
,dill,dill_+15.wav,15,,4,,,test,test4,test4,t,d,blank.jpeg
,dill,dill_+25.wav,25,,4,,,test,test4,test4,t,d,blank.jpeg
,din,din_+30.wav,30,,4,,,test,test4,test4,t,d,blank.jpeg
,din,din_+35.wav,35,,4,,,test,test4,test4,t,d,blank.jpeg
,din,din_+40.wav,40,,4,,,test,test4,test4,t,d,blank.jpeg
,din,din_+45.wav,45,,4,,,test,test4,test4,t,d,blank.jpeg
,dip,dip_+50.wav,50,,4,,,test,test4,test4,t,d,blank.jpeg
,dip,dip_+55.wav,55,,4,,,test,test4,test4,t,d,blank.jpeg
,dip,dip_+65.wav,65,,4,,,test,test4,test4,t,d,blank.jpeg
,dip,dip_+70.wav,70,,4,,,test,test4,test4,t,d,blank.jpeg
,din,din_+20.wav,20,t,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dip,dip_+30.wav,30,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+30.wav,30,t,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dip,dip_+35.wav,35,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+35.wav,35,d,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,din,din_+35.wav,35,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+35.wav,35,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+35.wav,35,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+35.wav,35,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+35.wav,35,t,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dill,dill_+35.wav,35,t,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+40.wav,40,d,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dill,dill_+40.wav,40,d,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+45.wav,45,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+45.wav,45,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+45.wav,45,d,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dill,dill_+45.wav,45,d,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,dill,dill_+45.wav,45,d,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+45.wav,45,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+45.wav,45,t,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dill,dill_+50.wav,50,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+50.wav,50,d,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dill,dill_+50.wav,50,d,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+50.wav,50,d,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,din,din_+50.wav,50,t,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dip,dip_+55.wav,55,d,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dip,dip_+55.wav,55,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+55.wav,55,t,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+60.wav,60,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+60.wav,60,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+60.wav,60,d,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+60.wav,60,d,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dip,dip_+60.wav,60,t,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dill,dill_+65.wav,65,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+65.wav,65,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+65.wav,65,t,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+70.wav,70,d,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dip,dip_+70.wav,70,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+70.wav,70,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+70.wav,70,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+75.wav,75,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dill,dill_+80.wav,80,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
break2,,,,,,,,,,,t,d,blank.jpeg
,dill,dill_+90.wav,90,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,dip,dip_+90.wav,90,t,1,c2,1,exposure,exposure1,exposure1,t,d,dip_leftt.jpeg
,dill,dill_+95.wav,95,t,1,c2,1,exposure,exposure1,exposure1,t,d,dill_leftt.jpeg
,din,din_+110.wav,110,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,din,din_+120.wav,120,t,1,c2,1,exposure,exposure1,exposure1,t,d,din_leftt.jpeg
,dill,dill_+125.wav,125,t,1,c2,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,left,,,left,1,c1,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,left,,,left,1,c1,1,exposure,exposure1,exposure1,t,d,left_leftt.jpeg
,left,,,left,1,c1,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,right,,,right,1,c1,1,exposure,exposure1,exposure1,t,d,right_leftt.jpeg
,right,,,right,1,c1,0,exposure,exposure1,exposure1,t,d,blank.jpeg
,right,,,right,1,c1,1,exposure,exposure1,exposure1,t,d,right_leftt.jpeg
,dip,dip_-5.wav,-5,,5,,,test,test5,test5,t,d,blank.jpeg
,dip,dip_+5.wav,5,,5,,,test,test5,test5,t,d,blank.jpeg
,dip,dip_+15.wav,15,,5,,,test,test5,test5,t,d,blank.jpeg
,dip,dip_+25.wav,25,,5,,,test,test5,test5,t,d,blank.jpeg
,dill,dill_+30.wav,30,,5,,,test,test5,test5,t,d,blank.jpeg
,dill,dill_+35.wav,35,,5,,,test,test5,test5,t,d,blank.jpeg
,dill,dill_+40.wav,40,,5,,,test,test5,test5,t,d,blank.jpeg
,dill,dill_+45.wav,45,,5,,,test,test5,test5,t,d,blank.jpeg
,din,din_+50.wav,50,,5,,,test,test5,test5,t,d,blank.jpeg
,din,din_+55.wav,55,,5,,,test,test5,test5,t,d,blank.jpeg
,din,din_+65.wav,65,,5,,,test,test5,test5,t,d,blank.jpeg
,din,din_+70.wav,70,,5,,,test,test5,test5,t,d,blank.jpeg
,din,din_-15.wav,-15,t,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,din,din_-10.wav,-10,t,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,dip,dip_-5.wav,-5,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,din,din_+0.wav,0,t,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+20.wav,20,t,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dill,dill_+25.wav,25,t,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,din,din_+30.wav,30,d,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,dip,dip_+30.wav,30,t,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,din,din_+35.wav,35,d,2,c2,1,exposure,exposure2,exposure2,t,d,din_leftt.jpeg
,din,din_+35.wav,35,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+35.wav,35,t,2,c2,1,exposure,exposure2,exposure2,t,d,dip_leftt.jpeg
,din,din_+40.wav,40,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+40.wav,40,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dip,dip_+40.wav,40,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+40.wav,40,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+40.wav,40,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+45.wav,45,d,2,c2,1,exposure,exposure2,exposure2,t,d,dill_leftt.jpeg
,dip,dip_+45.wav,45,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
,dill,dill_+45.wav,45,d,2,c2,0,exposure,exposure2,exposure2,t,d,blank.jpeg
