Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
11,1773242689409,11/03/2026 15:24:49,1773242690089,-4,11/03/2026 11:24:50,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,1,3,Screen 2,buttonA,response_button_text,1475.5,,,1,1,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
12,1773242691331,11/03/2026 15:24:51,1773242692021,-4,11/03/2026 11:24:52,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,1,4,Screen 4,advancementZone,continue_button,1924.4000000953674,,,,0,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
13,1773242692318,11/03/2026 15:24:52,1773242692995,-4,11/03/2026 11:24:52,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,1,Screen 3,Zone3,timelimit_screen,999.0999999999985,,,,0,0,,,,1,,1,Trial,1,HugginsPitch_8_1.flac,1
14,1773242698419,11/03/2026 15:24:58,1773242699099,-4,11/03/2026 11:24:59,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,2,Screen 1,content,content_audio,6098.099999904633,,,,0,0,,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
15,1773242700604,11/03/2026 15:25:00,1773242701287,-4,11/03/2026 11:25:01,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,3,Screen 2,buttonB,response_button_text,2182.5999999046326,,,2,1,0,,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
16,1773242702430,11/03/2026 15:25:02,1773242703120,-4,11/03/2026 11:25:03,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,9,2,4,Screen 4,advancementZone,continue_button,1826.6000001430511,,,,0,0,,,,,,1,Trial,1,HugginsPitch_8_1.flac,1
17,1773242703400,11/03/2026 15:25:03,1773242704086,-4,11/03/2026 11:25:04,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,3,1,Screen 3,Zone3,timelimit_screen,999.0999999999913,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_3_2.flac,1
18,1773242709507,11/03/2026 15:25:09,1773242710178,-4,11/03/2026 11:25:10,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,3,2,Screen 1,content,content_audio,6085,,,,0,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
19,1773242710546,11/03/2026 15:25:10,1773242711221,-4,11/03/2026 11:25:11,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,3,3,Screen 2,buttonA,response_button_text,1028.5,,,1,1,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
20,1773242712303,11/03/2026 15:25:12,1773242712977,-4,11/03/2026 11:25:12,255858,16,task-r1nu,,53647929,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,3,4,Screen 4,advancementZone,continue_button,1750.0999999046326,,,,0,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
