Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID
54,1784156485486,15/07/2026 23:01:25,1784156485486,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"Does your current spouse/partner/roommate speak English with a foreign accent? **If yes, specify the accent.**",response,value,xx,,,,Text Entry,3,object-21
55,1784156485486,15/07/2026 23:01:25,1784156485486,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"On a typical day, I hear Spanish ",response,value,Often,,,All the time|Often|Half the time|Sometimes|Not at all,Multiple Choice,4,object-22
56,1784156485486,15/07/2026 23:01:25,1784156485486,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"On a typical day, I hear Spanish ",response,quantised,2,,,All the time|Often|Half the time|Sometimes|Not at all,Multiple Choice,4,object-22
57,1784156485486,15/07/2026 23:01:25,1784156485486,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"Think of 3-5 people that you most frequently speak with. How would you describe their accent? (e.g., my mom, Mandarin; my best friend, American)",response,value,xx,,,,Comment Box,5,object-23
58,1784156485486,15/07/2026 23:01:25,1784156485486,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"Please describe any additional language experience you feel is important:
(Examples: I lived in Italy for 2 years / I sometimes speak Mandarin / I learned Spanish in high school)
",response,value,xx,,,,Comment Box,6,object-24
59,1784156485487,15/07/2026 23:01:25,1784156485487,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"On a typical day, I hear Spanish-accented English ",response,value,Sometimes,,,All the time|Often|Half the time|Sometimes|Not at all,Multiple Choice,7,object-25
60,1784156485487,15/07/2026 23:01:25,1784156485487,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"On a typical day, I hear Spanish-accented English ",response,quantised,4,,,All the time|Often|Half the time|Sometimes|Not at all,Multiple Choice,7,object-25
61,1784156485487,15/07/2026 23:01:25,1784156485487,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,Page 2,9ozlp6,2,"Do you have regular exposure to other types of accented English except Spanish accent? ‘Regular’ means that on a typical day, you would have conversations with people who speak accented English. 
(e.g., Italian-accented English)
",response,value,xx,,,,Comment Box,8,object-26
62,1784156485487,15/07/2026 23:01:25,1784156485487,-7,15/07/2026 16:01:25,269901,13,questionnaire-ol6n,repeat-7r7d#1,57237875,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,0,DemoQuestionnaire,3,full_List_6,pass,,,,,info,,END,,45126,,,,
END OF FILE
