Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,Manipulation: Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
13,1784155630864,15/07/2026 22:47:10,1784155630778,-7,15/07/2026 15:47:10,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,1,1,9,Screen 3,Zone1,continue_button,826.2999999523163,,,,,0,1,0,,,,,,Instructions,,,
14,1784155631852,15/07/2026 22:47:11,1784155631774,-7,15/07/2026 15:47:11,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,11,1,1,Screen 3,Zone3,timelimit_screen,999.9000000000015,,,,,0,1,0,,,1,,1,Trial,2.png,HugginsPitch_10_2.flac,1
15,1784155638072,15/07/2026 22:47:18,1784155637977,-7,15/07/2026 15:47:17,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,11,1,2,Screen 1,content,content_audio,6190.099999904633,,,,,0,1,0,,,,,1,Trial,2.png,HugginsPitch_10_2.flac,1
16,1784155638682,15/07/2026 22:47:18,1784155638587,-7,15/07/2026 15:47:18,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,11,1,3,Screen 2,buttonB,response_button_image,602.2000000476837,,,2.png,1,1,0,0,,,,,1,Trial,2.png,HugginsPitch_10_2.flac,1
17,1784155639674,15/07/2026 22:47:19,1784155639582,-7,15/07/2026 15:47:19,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,6,2,1,Screen 3,Zone3,timelimit_screen,995.9000000000015,,,,,0,1,0,,,1,,1,Trial,3.png,HugginsPitch_5_3.flac,1
18,1784155645872,15/07/2026 22:47:25,1784155645785,-7,15/07/2026 15:47:25,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,6,2,2,Screen 1,content,content_audio,6198.800000190735,,,,,0,1,0,,,,,1,Trial,3.png,HugginsPitch_5_3.flac,1
19,1784155646567,15/07/2026 22:47:26,1784155646471,-7,15/07/2026 15:47:26,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,6,2,3,Screen 2,buttonC,response_button_image,675.2999999523163,,,3.png,1,1,0,0,,,,,1,Trial,3.png,HugginsPitch_5_3.flac,1
20,1784155647547,15/07/2026 22:47:27,1784155647464,-7,15/07/2026 15:47:27,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,5,3,1,Screen 3,Zone3,timelimit_screen,1000.9000000000015,,,,,0,1,0,,,1,,1,Trial,3.png,HugginsPitch_4_3.flac,1
21,1784155653763,15/07/2026 22:47:33,1784155653679,-7,15/07/2026 15:47:33,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,5,3,2,Screen 1,content,content_audio,6210,,,,,0,1,0,,,,,1,Trial,3.png,HugginsPitch_4_3.flac,1
22,1784155654260,15/07/2026 22:47:34,1784155654097,-7,15/07/2026 15:47:34,269901,13,task-r1nu,repeat-7r7d#1,57237794,,16361834,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 150.0.0.0,1512x982,1512x827,,,,Headphone Check,1,full_List_6,pass,Spreadsheet1,Spreadsheet1,5,3,3,Screen 2,buttonC,response_button_image,409.59999990463257,,,3.png,1,1,0,0,,,,,1,Trial,3.png,HugginsPitch_4_3.flac,1
