Filename	TextGridLabel	duration	f0_25%_mean	F1_25%_mean	F2_25%_mean
bill_bk1	v	0.4885599322215318	111.14652205818147	'f1_25'	'f2_25' 
bill_bk10	v	0.46542333192260954	98.073717379556	'f1_25'	'f2_25' 
bill_bk2	v	0.4982484365561949	107.30849502087786	'f1_25'	'f2_25' 
bill_bk6	v	0.4378368293666801	103.0021604192624	'f1_25'	'f2_25' 
bill_bk7	v	0.45517623800291096	107.11369990992652	'f1_25'	'f2_25' 
bin_bk10	v	0.48489780248495007	104.16218468390889	'f1_25'	'f2_25' 
bin_bk2	v	0.46972141363062325	111.5088825911296	'f1_25'	'f2_25' 
bin_bk4	v	0.44641217041671	109.32318774374048	'f1_25'	'f2_25' 
bin_bk5	v	0.4641190928088239	109.79397352286477	'f1_25'	'f2_25' 
bin_bk6	v	0.4212317655416905	107.78911713479975	'f1_25'	'f2_25' 
pill_bk3	v	0.4151498426616558	112.63463069945065	'f1_25'	'f2_25' 
pill_bk4	v	0.4507482825598239	116.23107432583117	'f1_25'	'f2_25' 
pill_bk5	v	0.3731884028015122	118.6299066839454	'f1_25'	'f2_25' 
pill_bk8	v	0.4566419960290239	106.24625645934253	'f1_25'	'f2_25' 
pill_bk9	v	0.38000296632216535	105.6180387830629	'f1_25'	'f2_25' 
pin_bk1	v	0.428487085048162	122.19499995800255	'f1_25'	'f2_25' 
pin_bk3	v	0.44074888845395754	123.81123008612649	'f1_25'	'f2_25' 
pin_bk7	v	0.4235346348874103	116.63927695915667	'f1_25'	'f2_25' 
pin_bk8	v	0.4386800649115802	117.54753659627137	'f1_25'	'f2_25' 
pin_bk9	v	0.3759170162419697	101.16883958853457	'f1_25'	'f2_25' 
