Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: no consent,Store: consent
1,1773242604196,11/03/2026 15:23:24,1773242604196,-4,11/03/2026 11:23:24,255858,16,questionnaire-gtvr,,53647899,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Consent Form,3,spreadsheet1_dt_d left,fail,fail,pass,,,,,info,,BEGIN,,,,,,,,
2,1773242623920,11/03/2026 15:23:43,1773242623920,-4,11/03/2026 11:23:43,255858,16,questionnaire-gtvr,,53647899,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Consent Form,3,spreadsheet1_dt_d left,fail,fail,pass,,,,,info,,BEGIN,,,,,,,,
6,1773242625789,11/03/2026 15:23:45,1773242625789,-4,11/03/2026 11:23:45,255858,16,questionnaire-gtvr,,53647899,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Consent Form,3,spreadsheet1_dt_d left,fail,fail,pass,Page 1,1worgm,1,"Check the box below to indicate you have carefully read through the study information sheet provided by the researchers, and agree to participate in this study.
",response,value,Yes,,,Yes,Multiple Choice,2,object-24,,
7,1773242625789,11/03/2026 15:23:45,1773242625789,-4,11/03/2026 11:23:45,255858,16,questionnaire-gtvr,,53647899,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Consent Form,3,spreadsheet1_dt_d left,fail,fail,pass,Page 1,1worgm,1,"Check the box below to indicate you have carefully read through the study information sheet provided by the researchers, and agree to participate in this study.
",response,quantised,1,,,Yes,Multiple Choice,2,object-24,,
8,1773242625790,11/03/2026 15:23:45,1773242625790,-4,11/03/2026 11:23:45,255858,16,questionnaire-gtvr,,53647899,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,0,Consent Form,3,spreadsheet1_dt_d left,fail,fail,pass,,,,,info,,END,,21534,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
