Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
16,1773242850972,11/03/2026 15:27:30,1773242851667,-4,11/03/2026 11:27:31,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,11,2,4,Screen 4,advancementZone,continue_button,1207.7999999523163,,,,0,0,,,,,,1,Trial,2,HugginsPitch_10_2.flac,1
17,1773242851990,11/03/2026 15:27:31,1773242852664,-4,11/03/2026 11:27:32,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,3,1,Screen 3,Zone3,timelimit_screen,999.3000000000029,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_6_2.flac,1
18,1773242858079,11/03/2026 15:27:38,1773242858760,-4,11/03/2026 11:27:38,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,3,2,Screen 1,content,content_audio,6089.699999809265,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
19,1773242863656,11/03/2026 15:27:43,1773242864213,-4,11/03/2026 11:27:44,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,3,3,Screen 2,buttonB,response_button_text,5449.799999952316,,,2,1,1,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
20,1773242864425,11/03/2026 15:27:44,1773242865111,-4,11/03/2026 11:27:45,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,3,4,Screen 4,advancementZone,continue_button,895.2000000476837,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
21,1773242865430,11/03/2026 15:27:45,1773242866103,-4,11/03/2026 11:27:46,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,4,1,Screen 3,Zone3,timelimit_screen,999.1999999999971,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_3_2.flac,1
22,1773242871509,11/03/2026 15:27:51,1773242872200,-4,11/03/2026 11:27:52,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,4,2,Screen 1,content,content_audio,6093.899999856949,,,,0,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
23,1773242875211,11/03/2026 15:27:55,1773242875897,-4,11/03/2026 11:27:55,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,4,3,Screen 2,buttonB,response_button_text,3692.5999999046326,,,2,1,1,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
24,1773242876551,11/03/2026 15:27:56,1773242877238,-4,11/03/2026 11:27:57,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,4,4,4,Screen 4,advancementZone,continue_button,1336.5,,,,0,0,,,,,,1,Trial,2,HugginsPitch_3_2.flac,1
25,1773242877534,11/03/2026 15:27:57,1773242878226,-4,11/03/2026 11:27:58,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,3,5,1,Screen 3,Zone3,timelimit_screen,999.3000000000029,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_2_3.flac,1
26,1773242883637,11/03/2026 15:28:03,1773242884320,-4,11/03/2026 11:28:04,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,3,5,2,Screen 1,content,content_audio,6088.5,,,,0,0,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
27,1773242884401,11/03/2026 15:28:04,1773242885097,-4,11/03/2026 11:28:05,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,3,5,3,Screen 2,buttonB,response_button_text,770.7000000476837,,,2,1,0,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
28,1773242885358,11/03/2026 15:28:05,1773242886045,-4,11/03/2026 11:28:06,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,3,5,4,Screen 4,advancementZone,continue_button,945.5,,,,0,0,,,,,,1,Trial,3,HugginsPitch_2_3.flac,1
29,1773242886348,11/03/2026 15:28:06,1773242887036,-4,11/03/2026 11:28:07,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,6,1,Screen 3,Zone3,timelimit_screen,999.1000000000058,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_5_3.flac,1
30,1773242892425,11/03/2026 15:28:12,1773242893118,-4,11/03/2026 11:28:13,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,6,2,Screen 1,content,content_audio,6077.899999856949,,,,0,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
31,1773242893113,11/03/2026 15:28:13,1773242893802,-4,11/03/2026 11:28:13,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,6,3,Screen 2,buttonB,response_button_text,679.3000001907349,,,2,1,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
32,1773242893873,11/03/2026 15:28:13,1773242894539,-4,11/03/2026 11:28:14,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,6,4,Screen 4,advancementZone,continue_button,735.5999999046326,,,,0,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
33,1773242893994,11/03/2026 15:28:13,1773242894546,-4,11/03/2026 11:28:14,255858,16,task-17h5,,53648025,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x551,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,END TASK,,,,,141661,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
