Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Manipulation: Spreadsheet,Manipulation: correctAnswerCount,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,stimuli,ShowProgressBar
23,1773242964815,11/03/2026 15:29:24,1773242965492,-4,11/03/2026 11:29:25,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,4,3,Screen 2,buttonB,response_button_text,456.7000000476837,,,2,1,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
24,1773242965598,11/03/2026 15:29:25,1773242966274,-4,11/03/2026 11:29:26,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,6,4,4,Screen 4,advancementZone,continue_button,778.7000000476837,,,,0,0,,,,,,1,Trial,3,HugginsPitch_5_3.flac,1
25,1773242966581,11/03/2026 15:29:26,1773242967270,-4,11/03/2026 11:29:27,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,1,Screen 3,Zone3,timelimit_screen,999.2999999999956,,,,0,0,,,,1,,1,Trial,2,HugginsPitch_6_2.flac,1
26,1773242972665,11/03/2026 15:29:32,1773242973348,-4,11/03/2026 11:29:33,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,2,Screen 1,content,content_audio,6071.199999809265,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
27,1773242973114,11/03/2026 15:29:33,1773242973807,-4,11/03/2026 11:29:33,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,3,Screen 2,buttonB,response_button_text,454,,,2,1,1,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
28,1773242973834,11/03/2026 15:29:33,1773242974518,-4,11/03/2026 11:29:34,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,7,5,4,Screen 4,advancementZone,continue_button,708.5999999046326,,,,0,0,,,,,,1,Trial,2,HugginsPitch_6_2.flac,1
29,1773242974859,11/03/2026 15:29:34,1773242975513,-4,11/03/2026 11:29:35,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,6,1,Screen 3,Zone3,timelimit_screen,998.3999999999942,,,,0,0,,,,1,,1,Trial,3,HugginsPitch_4_3.flac,1
30,1773242980908,11/03/2026 15:29:40,1773242981591,-4,11/03/2026 11:29:41,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,6,2,Screen 1,content,content_audio,6074.5,,,,0,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
31,1773242981402,11/03/2026 15:29:41,1773242982088,-4,11/03/2026 11:29:42,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,6,3,Screen 2,buttonB,response_button_text,493,,,2,1,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
32,1773242982181,11/03/2026 15:29:42,1773242982871,-4,11/03/2026 11:29:42,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,Spreadsheet1,5,6,4,Screen 4,advancementZone,continue_button,779.9000000953674,,,,0,0,,,,,,1,Trial,3,HugginsPitch_4_3.flac,1
33,1773242982294,11/03/2026 15:29:42,1773242982873,-4,11/03/2026 11:29:42,255858,16,task-l83k,,53648196,BLINDED,15406260,,complete,,69b188d8b8b58644130cf570,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,1280x720,1280x720,,,,Efficient Headphone Screen,1,spreadsheet1_dt_d left,fail,fail,pass,Spreadsheet1,correctAnswerCount,,,END TASK,,,,,79480,,,,,,,,,,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
