Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,counterbalance-gj4p,branch-67ii,branch-b6g2,branch-ahcf,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Context,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: no consent,Store: consent
1,1773235952975,11/03/2026 13:32:32,1773235952975,-5,11/03/2026 08:32:32,255858,16,questionnaire-gtvr,,53641792,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1814x1189,,,0,Consent Form,3,spreadsheet1_dt_t left,pass,,,,,,,info,,BEGIN,,,,,,,,
5,1773235962154,11/03/2026 13:32:42,1773235962154,-5,11/03/2026 08:32:42,255858,16,questionnaire-gtvr,,53641792,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Consent Form,3,spreadsheet1_dt_t left,pass,,,Page 1,1worgm,1,"Check the box below to indicate you have carefully read through the study information sheet provided by the researchers, and agree to participate in this study.
",response,value,Yes,,,Yes,Multiple Choice,2,object-24,,
6,1773235962154,11/03/2026 13:32:42,1773235962154,-5,11/03/2026 08:32:42,255858,16,questionnaire-gtvr,,53641792,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Consent Form,3,spreadsheet1_dt_t left,pass,,,Page 1,1worgm,1,"Check the box below to indicate you have carefully read through the study information sheet provided by the researchers, and agree to participate in this study.
",response,quantised,1,,,Yes,Multiple Choice,2,object-24,,
7,1773235962154,11/03/2026 13:32:42,1773235962154,-5,11/03/2026 08:32:42,255858,16,questionnaire-gtvr,,53641792,BLINDED,15404649,,complete,,69b16ed03097627b802e9442,computer,Desktop or Laptop,Windows 10,Chrome 145.0.0.0,2560x1440,1209x793,,,0,Consent Form,3,spreadsheet1_dt_t left,pass,,,,,,,info,,END,,9159,,,,,,
END OF FILE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
