participant.condition,exp_stageID,group_PSE_median,group_PSE_lower,group_PSE_upper,ci_width
expo-20ms,Exposure 1,40.05050505050505,23.939393939393945,57.62626262626263,33.686868686868685
expo-20ms,Exposure 2,35.65656565656566,16.61616161616162,53.26893939393887,36.65277777777725
expo-20ms,Exposure 3,37.121212121212125,16.61616161616162,56.16161616161617,39.545454545454554
expo-10ms,Exposure 1,45.909090909090914,31.262626262626267,60.555555555555564,29.292929292929298
expo-10ms,Exposure 2,42.97979797979798,26.868686868686872,59.09090909090909,32.22222222222222
expo-10ms,Exposure 3,42.97979797979798,26.868686868686872,57.62626262626263,30.757575757575758
expo+20ms,Exposure 1,54.6969696969697,40.05050505050505,72.27272727272728,32.22222222222223
expo+20ms,Exposure 2,56.16161616161617,42.94318181818185,72.27272727272728,29.329545454545432
expo+20ms,Exposure 3,56.16161616161617,41.515151515151516,72.27272727272728,30.757575757575765
